gm_code,gm_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
GM0809,Loon op Zand,2018,4.121293435740878,0.019028584597192477,-0.0036533677839586274,0.03278077377360466,0.017450142450875037,-0.05181684929889412,0.02426788545556525
GM0809,Loon op Zand,2020,4.134788192968218,0.03252334182453286,-8.547729797883484e-4,0.04308381476460965,0.014915200943429074,-0.04395715172467899,0.019336250820961187
GM0809,Loon op Zand,2022,4.116864630609734,0.01459977946604899,0.004505254504174522,0.03704022690786835,0.012843293388665604,-0.06296466739574892,0.023175672061089163
GM0820,"Nuenen, Gerwen en Nederwetten",2002,4.144179869857977,0.0419150187142915,NA,NA,NA,NA,NA
GM0820,"Nuenen, Gerwen en Nederwetten",2008,4.135430141034064,0.033165289890378584,NA,NA,NA,NA,NA
GM0820,"Nuenen, Gerwen en Nederwetten",2012,4.150723239646111,0.04845838850242547,NA,NA,NA,NA,NA
GM0820,"Nuenen, Gerwen en Nederwetten",2014,4.1894617715819775,0.08719692043829179,-0.009880359046590723,0.07369928255691073,0.039851378714284284,-0.049698476708583926,0.03322509492227115
GM0820,"Nuenen, Gerwen en Nederwetten",2016,4.203607271890037,0.10134242074635084,NA,NA,NA,NA,NA
GM0820,"Nuenen, Gerwen en Nederwetten",2018,4.209850156785291,0.10758530564160552,-0.0035131278189269918,0.08367104379084776,0.04191006246350519,-0.05222478204499777,0.03774210925117707
GM0820,"Nuenen, Gerwen en Nederwetten",2020,4.223076798783506,0.12081194763982082,6.904397460338996e-4,0.08467904149869498,0.039769532674132635,-0.04161595721943561,0.037288890940394635
GM0820,"Nuenen, Gerwen en Nederwetten",2022,4.233629398177334,0.13136454703364894,-0.0024642038871775665,0.09199469718264805,0.038926568245522666,-0.03527541228896796,0.03818289778162351
GM0823,Oirschot,2002,4.103090798835411,8.259476917256896e-4,NA,NA,NA,NA,NA
GM0823,Oirschot,2008,4.122157335294359,0.019892484150673677,NA,NA,NA,NA,NA
GM0823,Oirschot,2012,4.148947166061827,0.04668231491814158,NA,NA,NA,NA,NA
GM0823,Oirschot,2014,4.151976158836886,0.0497113076932008,-0.021299953087095647,0.055070668270429946,0.06810115833612358,-0.09781790621941289,0.045657340393155534
GM0823,Oirschot,2016,4.184867256462782,0.08260240531909707,NA,NA,NA,NA,NA
GM0823,Oirschot,2018,4.174655369150716,0.07239051800703024,-0.011262545422622412,0.07689430901775761,0.06763778854911587,-0.1055062336188165,0.04462719948159538
GM0823,Oirschot,2020,4.18499698560761,0.08273213446392448,-0.010037269099936798,0.0859117833938683,0.06292562869511957,-0.10074226707494909,0.044674258549822196
GM0823,Oirschot,2022,4.199910828313591,0.09764597716990628,-0.006727938232148901,0.10418529654530838,0.060665694336651914,-0.10744984599198165,0.04697277051207626
GM0824,Oisterwijk,2002,4.1003774684771415,-0.0018873826665434525,NA,NA,NA,NA,NA
GM0824,Oisterwijk,2008,4.117678651760307,0.015413800616621965,NA,NA,NA,NA,NA
GM0824,Oisterwijk,2012,4.126400388038958,0.024135536895272314,NA,NA,NA,NA,NA
GM0824,Oisterwijk,2014,4.1419996020305945,0.03973475088690946,-0.011710720688250065,0.03689190197663068,0.03231838734677191,-0.045205518347994515,0.027440700599751178
GM0824,Oisterwijk,2016,4.168516891834477,0.0662520406907912,NA,NA,NA,NA,NA
GM0824,Oisterwijk,2018,4.174178907509832,0.07191405636614694,-0.009376891543704016,0.058897386478564136,0.03493537272010377,-0.04473947796348376,0.03219766667466653
