"ID";"LeeftijdReferentiepersoon";"RegioS";"Perioden";"TotaalParticuliereHuishoudens_21"
"1719";"10000";"GM0361";"2019JJ00";"51654"
"1720";"10000";"GM0361";"2020JJ00";"52179"
"1721";"10000";"GM0361";"2021JJ00";"52607"
"1722";"10000";"GM0361";"2022JJ00";"53187"
"1723";"10000";"GM0361";"2023JJ00";"53822"
"1724";"10000";"GM0361";"2024JJ00";"54312"
"1725";"10000";"GM0141";"2000JJ00";"27766"
"1726";"10000";"GM0141";"2001JJ00";"28915"
"1727";"10000";"GM0141";"2002JJ00";"29475"
"1728";"10000";"GM0141";"2003JJ00";"30043"
"1729";"10000";"GM0141";"2004JJ00";"30432"
"1730";"10000";"GM0141";"2005JJ00";"30624"
"1731";"10000";"GM0141";"2006JJ00";"30718"
"1732";"10000";"GM0141";"2007JJ00";"30992"
"1733";"10000";"GM0141";"2008JJ00";"31161"
"1734";"10000";"GM0141";"2009JJ00";"31318"
"1735";"10000";"GM0141";"2010JJ00";"31582"
"1736";"10000";"GM0141";"2011JJ00";"31468"
"1737";"10000";"GM0141";"2012JJ00";"31598"
"1738";"10000";"GM0141";"2013JJ00";"31801"
"1739";"10000";"GM0141";"2014JJ00";"31392"
"1740";"10000";"GM0141";"2015JJ00";"31443"
"1741";"10000";"GM0141";"2016JJ00";"31695"
"1742";"10000";"GM0141";"2017JJ00";"31997"
"1743";"10000";"GM0141";"2018JJ00";"32232"
"1744";"10000";"GM0141";"2019JJ00";"32679"
"1745";"10000";"GM0141";"2020JJ00";"32714"
"1746";"10000";"GM0141";"2021JJ00";"32878"
"1747";"10000";"GM0141";"2022JJ00";"33063"
"1748";"10000";"GM0141";"2023JJ00";"33373"
"1749";"10000";"GM0141";"2024JJ00";"33795"
"1750";"10000";"GM0034";"2000JJ00";"56212"
"1751";"10000";"GM0034";"2001JJ00";"59437"
"1752";"10000";"GM0034";"2002JJ00";"62886"
"1753";"10000";"GM0034";"2003JJ00";"65480"
"1754";"10000";"GM0034";"2004JJ00";"67780"
"1755";"10000";"GM0034";"2005JJ00";"69750"
"1756";"10000";"GM0034";"2006JJ00";"71633"
"1757";"10000";"GM0034";"2007JJ00";"72808"
"1758";"10000";"GM0034";"2008JJ00";"74110"
"1759";"10000";"GM0034";"2009JJ00";"75402"
"1760";"10000";"GM0034";"2010JJ00";"76731"
"1761";"10000";"GM0034";"2011JJ00";"78034"
"1762";"10000";"GM0034";"2012JJ00";"79635"
"1763";"10000";"GM0034";"2013JJ00";"80655"
"1764";"10000";"GM0034";"2014JJ00";"81009"
"1765";"10000";"GM0034";"2015JJ00";"81745"
"1766";"10000";"GM0034";"2016JJ00";"82509"
"1767";"10000";"GM0034";"2017JJ00";"84009"
"1768";"10000";"GM0034";"2018JJ00";"85489"
"1769";"10000";"GM0034";"2019JJ00";"87390"
"1770";"10000";"GM0034";"2020JJ00";"89319"
"1771";"10000";"GM0034";"2021JJ00";"90426"
"1772";"10000";"GM0034";"2022JJ00";"92438"
"1773";"10000";"GM0034";"2023JJ00";"94739"
"1774";"10000";"GM0034";"2024JJ00";"96667"
"1775";"10000";"GM0484";"2000JJ00";"28145"
"1776";"10000";"GM0484";"2001JJ00";"28258"
"1777";"10000";"GM0484";"2002JJ00";"28684"
"1778";"10000";"GM0484";"2003JJ00";"28907"
"1779";"10000";"GM0484";"2004JJ00";"28897"
"1780";"10000";"GM0484";"2005JJ00";"28971"
