"ID";"EigenaarHuurder";"HuishoudensEnWoningkenmerken";"RegioS";"Perioden";"TotaleWoonlasten_2";"Woonquote_5"
"61837";"A025403";"T001139";"GM0312";"2020JJ00";"     954";"    19.8"
"61838";"A025403";"T001139";"GM0312";"2021JJ00";"     983";"    19.6"
"61839";"A025403";"T001139";"GM0312";"2022JJ00";"     911";"    17.6"
"61840";"A025403";"T001139";"GM0313";"2018JJ00";"     897";"    21.8"
"61841";"A025403";"T001139";"GM0313";"2019JJ00";"     951";"    21.1"
"61842";"A025403";"T001139";"GM0313";"2020JJ00";"     896";"    20.0"
"61843";"A025403";"T001139";"GM0313";"2021JJ00";"     927";"    19.6"
"61844";"A025403";"T001139";"GM0313";"2022JJ00";"     849";"    17.5"
"61845";"A025403";"T001139";"GM0214";"2018JJ00";"    1011";"    23.8"
"61846";"A025403";"T001139";"GM0214";"2019JJ00";"     999";"    22.9"
"61847";"A025403";"T001139";"GM0214";"2020JJ00";"    1004";"    22.3"
"61848";"A025403";"T001139";"GM0214";"2021JJ00";"    1003";"    21.9"
"61849";"A025403";"T001139";"GM0214";"2022JJ00";"     956";"    20.1"
"61850";"A025403";"T001139";"GM0502";"2018JJ00";"     873";"    22.4"
"61851";"A025403";"T001139";"GM0502";"2019JJ00";"     892";"    21.8"
"61852";"A025403";"T001139";"GM0502";"2020JJ00";"     874";"    20.8"
"61853";"A025403";"T001139";"GM0502";"2021JJ00";"     887";"    20.3"
"61854";"A025403";"T001139";"GM0502";"2022JJ00";"     819";"    17.9"
"61855";"A025403";"T001139";"GM0383";"2018JJ00";"     877";"    21.4"
"61856";"A025403";"T001139";"GM0383";"2019JJ00";"     890";"    20.7"
"61857";"A025403";"T001139";"GM0383";"2020JJ00";"     884";"    19.9"
"61858";"A025403";"T001139";"GM0383";"2021JJ00";"     899";"    19.6"
"61859";"A025403";"T001139";"GM0383";"2022JJ00";"     828";"    17.6"
"61860";"A025403";"T001139";"GM0109";"2018JJ00";"     827";"    23.4"
"61861";"A025403";"T001139";"GM0109";"2019JJ00";"     822";"    22.5"
"61862";"A025403";"T001139";"GM0109";"2020JJ00";"     824";"    21.4"
"61863";"A025403";"T001139";"GM0109";"2021JJ00";"     840";"    21.3"
"61864";"A025403";"T001139";"GM0109";"2022JJ00";"     797";"    19.5"
"61865";"A025403";"T001139";"GM1706";"2018JJ00";"     853";"    22.8"
"61866";"A025403";"T001139";"GM1706";"2019JJ00";"     865";"    22.4"
"61867";"A025403";"T001139";"GM1706";"2020JJ00";"     850";"    21.2"
"61868";"A025403";"T001139";"GM1706";"2021JJ00";"     871";"    20.9"
"61869";"A025403";"T001139";"GM1706";"2022JJ00";"     826";"    19.1"
"61870";"A025403";"T001139";"GM0611";"2018JJ00";"     889";"    21.0"
"61871";"A025403";"T001139";"GM0611";"2019JJ00";"";"       ."
"61872";"A025403";"T001139";"GM0611";"2020JJ00";"";"       ."
"61873";"A025403";"T001139";"GM0611";"2021JJ00";"";"       ."
"61874";"A025403";"T001139";"GM0611";"2022JJ00";"";"       ."
"61875";"A025403";"T001139";"GM1684";"2018JJ00";"     845";"    22.5"
"61876";"A025403";"T001139";"GM1684";"2019JJ00";"     874";"    22.0"
"61877";"A025403";"T001139";"GM1684";"2020JJ00";"     844";"    20.7"
"61878";"A025403";"T001139";"GM1684";"2021JJ00";"     874";"    20.5"
"61879";"A025403";"T001139";"GM1684";"2022JJ00";"";"       ."
"61880";"A025403";"T001139";"GM0216";"2018JJ00";"     891";"    22.2"
"61881";"A025403";"T001139";"GM0216";"2019JJ00";"     912";"    21.7"
"61882";"A025403";"T001139";"GM0216";"2020JJ00";"     882";"    20.5"
"61883";"A025403";"T001139";"GM0216";"2021JJ00";"     899";"    20.1"
"61884";"A025403";"T001139";"GM0216";"2022JJ00";"     836";"    18.0"
"61885";"A025403";"T001139";"GM0148";"2018JJ00";"     848";"    22.0"
"61886";"A025403";"T001139";"GM0148";"2019JJ00";"     929";"    21.5"
